categoria,modo_color,formato,tipo_producto,base_origen_excel,columna_precio,material_excel,cantidad_rango,precio_objetivo_sin_iva,fuente_objetivo,activo
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,stickers,papel,stickers,1,1069,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,OPP blanco,especial,OPP blanco/blanco,1,1797,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,stickers,papel,stickers,2 a 25,875,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,OPP blanco,especial,OPP blanco/blanco,2 a 25,1470,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,stickers,papel,stickers,26 a 50,826,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,OPP blanco,especial,OPP blanco/blanco,26 a 50,1389,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,stickers,papel,stickers,51 a 100,778,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,OPP blanco,especial,OPP blanco/blanco,51 a 100,1307,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,stickers,papel,stickers,101 a 300,729,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,OPP blanco,especial,OPP blanco/blanco,101 a 300,1225,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,stickers,papel,stickers,301 a 500,680,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,OPP blanco,especial,OPP blanco/blanco,301 a 500,1144,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,stickers,papel,stickers,501 a 1000,632,pdf_actualizado,True
Bajadas Autoadhesivas,fullcolor,A3+,autoadhesiva,OPP blanco,especial,OPP blanco/blanco,501 a 1000,1062,pdf_actualizado,True
